Broadcast_Year,Broadcast_Quarter,Market,Service_Type,Broadcast_Language,Total_Quarterly_Hours
2022,4,Ontario,Conventional ,French,13321331
2022,4,Ontario,Conventional ,English,765189999
2022,4,Ontario,Discretionary & On-Demand,French,29164345
2022,4,Ontario,Discretionary & On-Demand,English,1991940755
2022,4,Ontario,Non-Canadian & Other,English,422428937
2022,4,Quebec,Conventional ,French,899737112
2022,4,Quebec,Conventional ,English,97805985
2022,4,Quebec,Discretionary & On-Demand,French,1028935750
2022,4,Quebec,Discretionary & On-Demand,English,175524126
2022,4,Quebec,Non-Canadian & Other,English,75555523
2022,4,West,Conventional ,French,362720
2022,4,West,Conventional ,English,530581797
2022,4,West,Discretionary & On-Demand,French,775259
2022,4,West,Discretionary & On-Demand,English,994824793
2022,4,West,Non-Canadian & Other,English,300888895
2023,1,Atlantic,Conventional ,English,210099563
2023,1,Atlantic,Conventional ,French,11132652
2023,1,Atlantic,Discretionary & On-Demand,French,4085462
2023,1,Atlantic,Discretionary & On-Demand,English,393898130
2023,1,Atlantic,Non-Canadian & Other,English,89936430
2023,1,Central,Conventional ,English,172534238
2023,1,Central,Conventional ,French,310621
2023,1,Central,Discretionary & On-Demand,French,392890
2023,1,Central,Discretionary & On-Demand,English,435160640
2023,1,Central,Non-Canadian & Other,English,64633518
2023,1,Ontario,Conventional ,English,965156103
2023,1,Ontario,Conventional ,French,17726993
2023,1,Ontario,Discretionary & On-Demand,French,21540239
2023,1,Ontario,Discretionary & On-Demand,English,2231403954
2023,1,Ontario,Non-Canadian & Other,English,448124098
2023,1,Quebec,Conventional ,English,105171651
2023,1,Quebec,Conventional ,French,1201539481
2023,1,Quebec,Discretionary & On-Demand,English,181167754
2023,1,Quebec,Discretionary & On-Demand,French,1080178814
2023,1,Quebec,Non-Canadian & Other,English,72548599
2023,1,West,Conventional ,French,711697
2023,1,West,Conventional ,English,642827801
2023,1,West,Discretionary & On-Demand,French,754011
2023,1,West,Discretionary & On-Demand,English,1107650842
2023,1,West,Non-Canadian & Other,English,292097784
2023,2,Atlantic,Conventional ,English,223544988
2023,2,Atlantic,Conventional ,French,10482437
2023,2,Atlantic,Discretionary & On-Demand,French,5161175
2023,2,Atlantic,Discretionary & On-Demand,English,438282990
2023,2,Atlantic,Non-Canadian & Other,English,94671505
2023,2,Central,Conventional ,French,779225
2023,2,Central,Conventional ,English,166115154
2023,2,Central,Discretionary & On-Demand,French,977426
2023,2,Central,Discretionary & On-Demand,English,379364631
2023,2,Central,Non-Canadian & Other,English,63302651
2023,2,Ontario,Conventional ,French,17701081
2023,2,Ontario,Conventional ,English,987231931
2023,2,Ontario,Discretionary & On-Demand,French,21959695
2023,2,Ontario,Discretionary & On-Demand,English,2171074176
2023,2,Ontario,Non-Canadian & Other,English,437263405
2023,2,Quebec,Conventional ,French,1215314868
2023,2,Quebec,Conventional ,English,106754024
2023,2,Quebec,Discretionary & On-Demand,French,1168202043
2023,2,Quebec,Discretionary & On-Demand,English,184395815
2023,2,Quebec,Non-Canadian & Other,English,64089621
2023,2,West,Conventional ,English,629566169
2023,2,West,Conventional ,French,812923
2023,2,West,Discretionary & On-Demand,French,1548399
2023,2,West,Discretionary & On-Demand,English,1172870112
2023,2,West,Non-Canadian & Other,English,289321790
2023,3,Atlantic,Conventional ,English,232579764
2023,3,Atlantic,Conventional ,French,10908062
2023,3,Atlantic,Discretionary & On-Demand,French,3824120
2023,3,Atlantic,Discretionary & On-Demand,English,456682580
2023,3,Atlantic,Non-Canadian & Other,English,87452371
2023,3,Central,Conventional ,English,172718688
2023,3,Central,Conventional ,French,515967
2023,3,Central,Discretionary & On-Demand,French,1373630
2023,3,Central,Discretionary & On-Demand,English,367890423
2023,3,Central,Non-Canadian & Other,English,68394734
2023,3,Ontario,Conventional ,French,16158540
2023,3,Ontario,Conventional ,English,971125459
2023,3,Ontario,Discretionary & On-Demand,French,21300695
2023,3,Ontario,Discretionary & On-Demand,English,2169388154
2023,3,Ontario,Non-Canadian & Other,English,371445763
2023,3,Quebec,Conventional ,French,1121242304
2023,3,Quebec,Conventional ,English,109796226
2023,3,Quebec,Discretionary & On-Demand,English,182547101
2023,3,Quebec,Discretionary & On-Demand,French,1052219587
2023,3,Quebec,Non-Canadian & Other,English,60206537
2023,3,West,Conventional ,French,497770
2023,3,West,Conventional ,English,633137850
2023,3,West,Discretionary & On-Demand,French,941925
2023,3,West,Discretionary & On-Demand,English,1227279966
2023,3,West,Non-Canadian & Other,English,278037613
2023,4,Atlantic,Conventional ,English,190368316
2023,4,Atlantic,Conventional ,French,8403995
2023,4,Atlantic,Discretionary & On-Demand,English,348464855
2023,4,Atlantic,Discretionary & On-Demand,French,7156029
2023,4,Atlantic,Non-Canadian & Other,English,90328563
2023,4,Central,Conventional ,English,142863621
2023,4,Central,Conventional ,French,122092
2023,4,Central,Discretionary & On-Demand,English,343560658
2023,4,Central,Discretionary & On-Demand,French,951065
2023,4,Central,Non-Canadian & Other,English,82912434
2023,4,Ontario,Conventional ,English,706144434
2023,4,Ontario,Conventional ,French,14044831
2023,4,Ontario,Discretionary & On-Demand,English,1866807091
2023,4,Ontario,Discretionary & On-Demand,French,18565887
2023,4,Ontario,Non-Canadian & Other,English,397625556
2023,4,Quebec,Conventional ,English,75163804
2023,4,Quebec,Conventional ,French,855573709
2023,4,Quebec,Discretionary & On-Demand,French,1041010646
2023,4,Quebec,Discretionary & On-Demand,English,158144335
2023,4,Quebec,Non-Canadian & Other,English,62103030
2023,4,West,Conventional ,English,498305879
2023,4,West,Conventional ,French,332072
2023,4,West,Discretionary & On-Demand,English,996681457
2023,4,West,Discretionary & On-Demand,French,730059
2023,4,West,Non-Canadian & Other,English,293680292
